Warnings with flags (1791):
  warn_assume_side_effects [-Wassume]
  warn_at_available_unchecked_use [-Wunsupported-availability-guard]
  warn_atimport_in_framework_header [-Watimport-in-framework-header]
  warn_atl_uuid_deprecated [-Wdeprecated-declarations]
  warn_atomic_implicit_seq_cst [-Watomic-implicit-seq-cst]
  warn_atomic_member_access [-Watomic-access]
  warn_atomic_op_has_invalid_memory_order [-Watomic-memory-ordering]
  warn_atomic_op_misaligned [-Watomic-alignment]
  warn_atomic_op_oversized [-Watomic-alignment]
  warn_atomic_property_rule [-Watomic-property-with-user-defined-accessor]
  warn_attr_abi_tag_namespace [-Wignored-attributes]
  warn_attr_on_unconsumable_class [-Wconsumed]
  warn_attr_swift_name_decl_kind [-Wswift-name-attribute]
  warn_attr_swift_name_decl_missing_params [-Wswift-name-attribute]
  warn_attr_swift_name_function [-Wswift-name-attribute]
  warn_attr_swift_name_getter_parameters [-Wswift-name-attribute]
  warn_attr_swift_name_invalid_identifier [-Wswift-name-attribute]
  warn_attr_swift_name_missing_parameters [-Wswift-name-attribute]
  warn_attr_swift_name_multiple_selfs [-Wswift-name-attribute]
  warn_attr_swift_name_num_params [-Wswift-name-attribute]
  warn_attr_swift_name_setter_parameters [-Wswift-name-attribute]
  warn_attr_swift_name_subscript_getter_newValue [-Wswift-name-attribute]
  warn_attr_swift_name_subscript_invalid_parameter [-Wswift-name-attribute]
